variableMetadata	mz	mzmin	mzmax	rt	rtmin	rtmax	npeaks	bio	blank	isotopes	adduct	pcgroup	fold	tstat	pvalue	blank_mean	blank_sd	blank_CV	sample_mean	sample_sd	sample_CV	blankMean_over_sampleMean	pool_mean	pool_sd	pool_CV	poolCV_over_sampleCV
M198.1125T486	198.1125141	198.1117549	198.1135678	486.1327799	485.5445921	487.4307442	190	190	0	[131][M]-	[M-H]- 199.118	47	569.5359755	-9.591471668	0	456.2401795	1091.723158	2.392869385	2.214417205	0.599645773	0.270791688	206.0317173	220284.2005	10456.69522	0.047469111	0.17529752
M199.0062T416	199.006208	199.0051471	199.0072688	416.0504946	412.6074382	439.8237843	216	207	0	[132][M]-	[M+Cl]- 164.035	2048	1482.026293	-5.825564002	2.13E-08	1137.609348	1899.60879	1.669825229	2.97178031	0.513670347	0.172849367	382.8039861	1653742.466	98445.15327	0.059528709	0.34439645
M199.0239T287	199.0239476	199.0175818	199.0250086	286.8615437	277.0628472	313.4699152	61	60	0			4718	4.188593887	-5.377767109	2.06E-07	5995.141549	7982.785361	1.331542432	1.22332108	0.636543583	0.520340566	4900.709752	17829.37042	4637.462885	0.260102448	0.499869633
M199.037T59	199.0369762	199.0359151	199.0377413	58.8281315	56.87891267	61.52037319	217	210	7		[M-H]- 200.044	278	60.89255048	-27.35457414	0	17294.49416	20087.05508	1.161471095	3.143196437	0.188412108	0.059942836	5502.199595	1084585.809	54189.30436	0.049963132	0.83351299
M199.0433T268	199.0433429	199.0422818	199.044108	267.5921749	267.0233552	268.3354655	46	46	0	[129][M+1]-		1125	38.00860538	-5.286059235	3.11E-07	579.5952132	1544.675362	2.665093373	0.741398209	0.826870842	1.11528573	781.7596621	19133.6748	4173.549337	0.218125863	0.195578458
M199.0603T362	199.0603224	199.0571386	199.0632102	362.3223944	340.1754788	365.7306288	137	137	0			3752	80.33351517	-20.88544634	0	700.9158762	1507.270463	2.150429907	1.833731148	0.347991859	0.189772562	382.2348096	55353.52648	7006.367309	0.126574904	0.666982111
M199.0607T301	199.060705	199.0571386	199.0632102	301.2812924	300.1444966	305.5835921	30	30	0			3206	34.90945631	-7.316208056	5.11E-12	1098.473648	2500.263433	2.276125093	0.970561758	0.91943844	0.947326053	1131.791602	37426.6596	8903.551274	0.237893292	0.251120817
M199.0844T410	199.084438	199.0836727	199.0876225	410.0498069	408.8020526	417.4628857	58	50	0	[128][M+2]-		128	66.70922045	-11.22426328	0	388.6448088	1374.072145	3.535547403	1.214781371	0.650509497	0.535495121	319.9298393	23311.40491	5631.018728	0.241556386	0.451089799
M199.0972T443	199.0971764	199.0932262	199.1003611	442.5043069	419.0288885	473.2043784	483	208	0	[133][M]-		3859	1208.579379	-15.98980796	0	2639.718596	3697.935681	1.400882536	3.552687541	0.336440799	0.094700363	743.0201969	2567138.505	429790.6878	0.16742014	1.767893334
M199.0972T376	199.0971764	199.0932262	199.0995957	375.5760327	361.0629826	376.4713973	158	144	0			2086	269.388465	-11.37684142	0	460.5862025	1239.024156	2.690102634	2.028694799	0.55256149	0.272372902	227.0357289	134995.5701	37699.58895	0.279265378	1.025305293
M199.0972T504	199.0971764	199.0942878	199.0985341	504.2058507	490.4792099	505.2589231	117	116	0			4836	51.48187941	-8.380650672	7.55E-15	1351.230723	2221.06219	1.643732748	1.544467556	0.657148389	0.425485396	874.8844984	53706.77177	8656.365566	0.161178289	0.37881039
M199.0972T327	199.0971764	199.0953494	199.0985341	327.1534515	310.2150349	340.4551175	81	80	0			2584	Inf	-9.688173772	0	0	0	NA	1.381476922	0.651953563	0.471925048	0	46013.28203	8432.340875	0.183258844	0.388321927
M199.1163T452	199.1162862	199.1155206	199.1165823	452.1013862	437.9630823	452.885948	176	159	0	[130][M+1]-		240	1650.596087	-15.18338576	0	57.93118077	283.8036662	4.898979486	2.019129626	0.413668132	0.20487448	28.69116476	52373.4089	8258.654908	0.157687939	0.769680729
M200.0101T416	200.0100767	200.0071677	200.0103743	415.7375754	412.4186751	420.9351046	91	91	0	[132][M+1]-		2051	72.95435295	-4.284294057	2.79E-05	1183.568036	2522.193401	2.131008378	1.255047412	0.928817203	0.74006543	943.0464734	65914.1949	13465.42875	0.204287237	0.276039427
M200.0197T266	200.019697	200.0189257	200.019697	266.1285377	264.7800885	266.9529351	119	119	0			5336	69.25915503	-10.02927699	0	928.6126824	1582.897577	1.7045832	1.443962764	0.829159449	0.574224952	643.1001586	67446.61673	7923.125633	0.117472544	0.204575826
M200.0403T59	200.0403066	200.0392375	200.041078	59.11842429	57.4602699	59.81312352	83	83	0			3807	35.36885606	-17.74836947	0	678.2947261	1634.193416	2.409267465	1.358414536	0.480164068	0.353473888	499.3282301	24175.21403	6697.753523	0.277050433	0.78379321
M200.0553T250	200.0552753	200.0531368	200.0574138	250.4550044	249.1798267	252.6528738	105	105	0			1509	70.71814026	-12.72839024	0	707.202855	1362.361762	1.926408741	1.550626357	0.643430907	0.414949033	456.0756058	41586.09388	10444.11282	0.251144357	0.605241457
M200.1181T476	200.1180781	200.1173062	200.1180781	475.8474103	475.3040194	476.4380825	35	35	0	[134][M]-		4999	3394.91733	-18.1143353	0	541.4083489	1476.426179	2.727010364	3.083614802	0.783709239	0.254152768	175.5758691	2418943.725	538303.9567	0.222536784	0.875602438
M200.128T476	200.1280041	200.1255666	200.1287761	475.8685479	459.5421942	476.7388004	211	210	0		[M-2H]2- 402.272	217	2203.737857	-19.82864305	0	1453.456419	2540.357678	1.747804506	3.557826193	0.276206249	0.077633429	408.5237277	2896425.525	90213.30737	0.031146427	0.401198654
M200.1288T403	200.1287761	200.1269342	200.1287761	403.3414257	387.4805363	404.942214	175	160	0			4778	24.52276121	-10.84365097	0	2198.545166	2367.52743	1.076860947	1.734319854	0.570834018	0.329139989	1267.669952	40788.3285	5601.477395	0.137330398	0.417240088
