variableMetadata	mz	mzmin	mzmax	rt	rtmin	rtmax	npeaks	bio	blank	isotopes	adduct	pcgroup	fold	tstat	pvalue	blank_mean	blank_sd	blank_CV	sample_mean	sample_sd	sample_CV	blankMean_over_sampleMean	pool_mean	pool_sd	pool_CV	poolCV_over_sampleCV
M192.8624T51	192.8624404	192.8614283	192.8631667	51.19042912	50.76408458	51.905439	137	137	0		[2M-2H+Na]- 85.9525	4560	37.69910573	-15.10797751	0	1309.257612	1447.089747	1.10527503	1.722666153	0.43301607	0.251363893	760.0181905	39964.10629	5118.977058	0.128089367	0.509577431
M192.8743T50	192.8743004	192.8725619	192.8743004	50.27821967	49.21675151	51.72671099	118	118	0			113	29.99104066	-18.83178875	0	1325.479612	1611.225555	1.215579281	1.670250812	0.399049832	0.238916113	793.581181	38959.53076	7651.273749	0.196390295	0.822005233
M192.9806T131	192.9806253	192.9785992	192.9826514	130.6379271	125.9647841	140.0911236	197	194	0	[117][M]-		74	260.4351388	-10.54357876	0	8951.246383	7001.969684	0.782234047	3.21841661	0.566421387	0.175993806	2781.257826	2345699.254	203371.2158	0.086699612	0.492628772
M192.9877T54	192.9877167	192.9869897	192.9887298	53.674548	52.89404232	54.55485142	173	173	0			3563	3.531189352	-8.502176285	3.22E-12	18000.73151	19844.01521	1.102400488	1.919296869	0.33462758	0.174349047	9378.81565	42784.69685	4758.1873	0.111212364	0.637871939
M193.013T55	193.0130465	193.011306	193.0133326	55.49088061	54.66984555	56.16371617	32	32	0			2311	11.50175293	-20.43225862	0	11446.95984	12689.58907	1.108555393	2.217280831	0.367896913	0.16592256	5162.611647	133962.155	23418.45019	0.174813926	1.053587439
M193.0228T64	193.0228162	193.0224526	193.0252066	63.93003441	63.09620814	74.97991746	212	210	0	[113][M+2]-		8	92.32920118	-25.55449495	0	5283.574	5423.987697	1.026575515	2.815773361	0.177542979	0.063053007	1876.420195	477516.4616	22512.33083	0.047144617	0.747698154
M193.0225T97	193.0224526	193.0194125	193.0254927	96.64270779	88.55020225	99.88746951	203	199	0	[112][M+2]-		6	160.5635906	-20.12331816	0	6618.414021	5937.132444	0.897062714	3.120587623	0.268209663	0.085948448	2120.887096	1136503.006	110013.1217	0.096799675	1.12625274
M193.0336T305	193.0336001	193.02622	193.035627	305.3411196	303.3333067	325.2588286	195	141	0			1999	31.98962596	-17.2936185	0	1707.974169	2619.765994	1.533844037	1.777056524	0.46094168	0.259384929	961.1254034	48877.65258	13383.57256	0.273817826	1.055642774
M193.0346T57	193.0346135	193.0325866	193.0383813	56.69904536	50.5455866	70.3716079	222	209	4		[M-2H+K]- 156.086	70	7.863732174	-19.58158813	0	42617.58177	45152.34369	1.059476906	2.66659017	0.227374001	0.085267696	15982.05163	322099.173	11981.9807	0.037199663	0.436269123
M193.0343T378	193.0343274	193.0315732	193.0373678	377.7843173	365.7998645	400.1559784	287	195	0			4265	70.11261784	-21.10326977	0	2743.019661	3882.428216	1.415384757	2.361176707	0.333667041	0.14131388	1161.717229	204946.6347	23582.96443	0.115068805	0.814278155
M193.0498T454	193.0498163	193.0467756	193.0508299	453.6001935	439.2691094	463.207814	173	169	0			1308	170.0712152	-7.468681346	2.16E-12	2083.491791	3510.248304	1.684791041	2.237078542	0.662013296	0.295927606	931.3449449	325317.0386	29193.228	0.089737777	0.303242333
M193.0498T341	193.0498163	193.0477892	193.0515574	341.3110519	338.8829331	347.7035324	129	128	0			2977	63.91780245	-10.30245765	0	2319.016407	3186.693856	1.374157529	1.778442242	0.852838603	0.47954248	1303.95936	154832.3913	16040.39593	0.103598451	0.216036025
M193.0498T399	193.0498163	193.0467756	193.052571	398.5057935	372.9951984	410.4056012	165	115	0			3519	95.99793476	-5.682102317	4.43E-08	2869.513691	3307.892712	1.15277119	2.029085376	0.799510012	0.394024826	1414.190711	266738.8815	35640.86561	0.133617062	0.339108231
M193.0498T424	193.0498163	193.0464895	193.052571	424.0837813	412.9853843	425.1109539	81	81	0			5390	80.82715028	-8.830208261	4.44E-16	1760.307854	3295.02298	1.87184473	1.769567605	0.84953581	0.480081014	994.7672241	112418.6712	27000.38063	0.240177013	0.500284339
M193.0498T302	193.0498163	193.0477892	193.0535846	302.0914911	300.9823724	316.3629496	59	55	0			3205	21.75176218	-9.865020909	0	1565.109871	2822.22451	1.803211751	1.396110853	0.613239691	0.439248567	1121.049856	26877.02116	7173.325653	0.266894371	0.607615804
M193.061T286	193.0609662	193.0599525	193.0616937	285.8050026	284.2692809	287.0659526	210	210	0			194	1184.558151	-25.14417117	0	1134.196347	1874.000614	1.652271777	3.237003964	0.178854304	0.055253038	350.3846025	1327352.305	57095.91064	0.043014888	0.778507197
M193.0691T400	193.0690758	193.0670484	193.0700895	400.2078369	399.1618758	401.2077192	102	102	0	[116][M+1]-		1173	546.516712	-5.504076989	1.08E-07	250.3671211	802.5836968	3.205627374	1.745277589	0.798251462	0.457377936	143.45404	72996.27834	16390.18766	0.224534566	0.490916916
M193.0691T370	193.0690758	193.0616937	193.0711033	370.3868632	352.6905561	381.5990137	139	125	0	[115][M+1]-		652	252.702302	-7.85290036	2.09E-13	212.4772276	613.3289675	2.886563301	1.533629148	0.716141146	0.466958487	138.5453764	42090.02642	11404.84238	0.270963061	0.580272269
M193.086T416	193.0860242	193.0852965	193.0870381	415.871653	401.3313981	432.8692863	28	27	0			2058	61.20786896	-7.977790065	9.24E-14	346.9752399	1058.067734	3.049404144	0.95746338	0.794133493	0.82941396	362.3900895	17058.87954	3726.384022	0.218442484	0.263369674
M193.7539T309	193.753862	193.7490537	193.7561875	309.2754183	308.4841932	311.7365395	80	80	0			93	7.893978304	-7.700027563	2.08E-10	3683.898534	12727.71781	3.454958839	1.344615443	0.599019273	0.445494863	2739.741354	36511.20111	8539.919859	0.233898628	0.525031034
M193.9844T131	193.9843911	193.9816159	193.9856997	130.5763133	127.3476338	135.2486918	31	31	0	[117][M+1]-		2407	18.08960249	-8.282300447	1.24E-14	2705.450711	3763.705638	1.391156609	1.375580516	0.720654616	0.523891265	1966.77016	37264.5856	9036.232846	0.242488483	0.46286033
M194.0449T309	194.044929	194.0439076	194.0456626	309.2665743	300.5581917	339.3002529	235	210	18	[120][M]-	[M-H]- 195.056	93	104.1329659	-19.38327242	0	156805.677	161290.6405	1.028602048	4.28129887	0.304509897	0.071125587	36625.72545	18993717.07	653607.9958	0.0344118	0.483817448
M194.0449T293	194.044929	194.0425984	194.048727	292.8219217	262.5285294	298.3815267	285	210	9			772	187.6624411	-19.51518702	0	64483.37084	79239.13394	1.228830517	4.190341226	0.220881065	0.052711952	15388.57276	12869552.77	680198.2334	0.052853292	1.002681372
M194.0449T432	194.044929	194.0439076	194.0477055	432.3390534	431.2836308	433.2414917	209	209	0	[121][M]-		1887	304.3942392	-17.51363787	0	1165.924077	2631.943606	2.257388502	2.595068851	0.245830208	0.094729744	449.2844482	330264.1185	19472.47671	0.058960316	0.622405523
M194.0457T365	194.0456626	194.0418647	194.0500362	364.9492489	363.4831941	366.0443283	129	128	1			15	416.2610802	-7.848219956	2.16E-13	9228.12212	10077.85787	1.092081113	2.907356643	0.968312715	0.333056049	3174.059206	4926669.454	301812.2562	0.06126091	0.183935739
